,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EMPRESA,VINOS,MARCA,DESCRIPCION,COSTO UNITARIO,PRECIO DE VENTA ,PRECIO DE VENTA 25%,STOCK,PROMOCION,TOTAL VENTA,NRO BOTELLAS VENDIDAS,STOCK ACTUAL,,,,,,,
,FRUGO,FRUGO DEL VALLE 300ML,,S/ 2.00,S/ 2.50,,22,,,,22.00,S/44.00,,,,,,
,AGUA,SAN LUIS 2500ML,,S/ 1.47,S/ 3.50,,0,,,,0.00,S/0.00,,,,,,
,AGUA,SAN LUIS CON GAS 750ML,,S/ 0.89,S/ 2.00,,39,,,,39.00,S/34.71,,,,,,
,AGUA,SAN LUIS 750ML,,1.5,S/ 2.00,,36,,,,36.00,S/54.00,,,,,,
,AGUA,SAN LUIS 625ML,,,S/ 2.00,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,GUARANA 3000ML,,S/ 6.92,S/ 9.00,,8,,,,8.00,S/55.36,,,,,,
,GASEOSA ,GUARANA 2000ML,,S/ 4.56,S/ 6.00,,4,,,,4.00,S/18.24,,,,,,
,GASEOSA,GUARANA 450ML,,S/ 1.41,S/ 2.00,,6,,,,6.00,S/8.46,,,,,,
,CERVEZA,HEINEKEN CERVEZA LATA 330 ML ,,S/ 3.64,S/ 5.00,,0,,,,0.00,S/0.00,,,,,,
,CERVEZA,CAJA CERVEZA PILSEN  ,,63.25,S/ 70.00,,,,,,0.00,S/0.00,,,,,,
,CERVEZA,CAJA CERVEZA CRISTAL ,,63.25,S/ 70.00,,10,,,,10.00,S/632.50,,,,,,
,CERVEZA,CERVEZA CRISTAL RUBIA ,,5.27,6,,105,,,,105.00,S/553.35,,S/48.00,,,,
5.4175,CERVEZA,PILSEN CALLAO 630,,5.27,6,,84,,,,84.00,S/442.68,,,0,,,
5.1675,CERVEZA, PILSEN LATA UND 355,,3.64,S/ 4.20,,0,,,,0.00,S/0.00,,,,,,
,CERVEZA,SIX PACK PILSEN LATA 355,,21.84,S/ 25.00,,0,,,,0.00,S/0.00,,,,,,
,CERVEZA,BOTELLA PILSEN 305 ML,,20.8,S/ 4.20,,9,,,,9.00,S/187.20,,,,,,
,CERVEZA, CRISTAL LATA GRANDE UND 473ML,,4.213333333,S/ 5.00,,54,,,,54.00,S/227.52,,,,,,
,CERVEZA, SIX PACK CRISTAL LATA GRANDE 473ML,,25.28,S/ 30.00,,,,,,0.00,S/0.00,,,,,,
,CERVEZA,CERVEZA CRISTAL LATA PQ DE 12 UN 355ML,,,S/ 42.00,,0,,,,0.00,S/0.00,,,,,,
86,CERVEZA,CERVEZA CRISTAL LATA UND 355ML,,3.206666667,S/ 4.00,,20,,,6,14.00,S/44.89,,,,,,
,CERVEZA,SIX PACK CERVEZA CRISTAL LATA 355ML,,19.24,S/ 24.00,,,,,,0.00,S/0.00,,,,,,
,CERVEZA,CERVEZA PILSEN LATA UND 473ML,,4.213333333,S/ 5.00,,,,,,0.00,S/0.00,,,,,,
